nome;SITUA«√O
Alessandro Pinto Carneiro;N√O ENCONTRADO
Alex M. G. de Almeida;ENCONTRADO
Alex Sandro Romeo de Souza Poletto;ENCONTRADO
Alexander Vinson;ENCONTRADO
Alexandre Lazzaretti;ENCONTRADO
Alison L. B. Alonso;ENCONTRADO
Alisson Rosa;N√O ENCONTRADO
Alvaristo Padilha;ENCONTRADO
√Ålvaro Osvaldo Teixeira Mart√≠nez;ENCONTRADO
Ana Magela Rodriguez Almeida;ENCONTRADO
Andr√© Ar√°ujo;ENCONTRADO
Andr√© Dias Bastos;ENCONTRADO
Andr√© Luciano Rakowski;ENCONTRADO
Andr√© Oliveira;N√O ENCONTRADO
Andr√© S. Rosa;N√O ENCONTRADO
Angelo Frozza;ENCONTRADO
√Çngelo N. V. Crestani;ENCONTRADO
Anselmo Maciel Nunes;ENCONTRADO
Antonio Alves;ENCONTRADO
Augusto B. Corr√™a;ENCONTRADO
Augusto Ferreira de Souza;ENCONTRADO
Bruno Agostinho;ENCONTRADO
Bruno Eduardo Soares;ENCONTRADO
Bruno S. Velasco;N√O ENCONTRADO
Carlos A. S. Rocha;N√O ENCONTRADO
Carlos Eduardo Pires;ENCONTRADO
Carlos Henrique Candido;ENCONTRADO
Caroline Tomasini;ENCONTRADO
Cassio Prazeres;ENCONTRADO
C√©sar Feij√≥ Nadvorny;ENCONTRADO
Cezar Molinar;N√O ENCONTRADO
Cl√°udio Lima;N√O ENCONTRADO
Cleiton Lima;ENCONTRADO
Cleto May;ENCONTRADO
Cleusa Maria Andrade Scrofernecker;ENCONTRADO
Cristian Trist√£o;ENCONTRADO
Cristiano Politowski;ENCONTRADO
Cristina Paludo Santos;ENCONTRADO
Daniel Kuhn;ENCONTRADO
Daniel Orlandi Mincato;N√O ENCONTRADO
Daniel S. de Oliveira;ENCONTRADO
Danilo Carlo;ENCONTRADO
Danilo S. da Cunha;ENCONTRADO
Darlan Flor√™ncio de Arruda;ENCONTRADO
D√©bora C. Naz√°rio;ENCONTRADO
Deise Saccol;ENCONTRADO
Deivith Maia Soares;N√O ENCONTRADO
Diego Magno da Silva;ENCONTRADO
Dinei A. Rockenbach;ENCONTRADO
Diogo Luis Von Grafen Ruberto;ENCONTRADO
Douglas Dyllon J. de Macedo;ENCONTRADO
Douglas Negrini;ENCONTRADO
Ed√©cio Iepsen;ENCONTRADO
Edimar Manica;ENCONTRADO
Edson Murakami;ENCONTRADO
Eduardo Johann;N√O ENCONTRADO
Eduardo Studzinski Estima de Castro;ENCONTRADO
Elielson B. de Souza;ENCONTRADO
Elis C. Nakonetchnei;ENCONTRADO
Elisa Mannes;ENCONTRADO
Elvis Kesley de Assis;N√O ENCONTRADO
√âmerson Homrich;ENCONTRADO
Erick Lopes;N√O ENCONTRADO
Eug√™nio de Oliveira Simonetto;ENCONTRADO
Euler Oliveira;ENCONTRADO
Everton Sparenberger Dias;N√O ENCONTRADO
Fabio dos Santos;N√O ENCONTRADO
Fabio Lopes;N√O ENCONTRADO
F√°bio Pasquali;ENCONTRADO
Fabr√≠cio Santos da Silva;N√O ENCONTRADO
Felipe Lanzarin;ENCONTRADO
Felipe Victolla Silveira;ENCONTRADO
Fernanda Figueira;ENCONTRADO
Fernando Moro;N√O ENCONTRADO
Fernando Simon;ENCONTRADO
Fhabiana Thieli dos Santos Machado;ENCONTRADO
Filipe Roberto Silva;ENCONTRADO
Fl√°vio R. Bayer;ENCONTRADO
Frantchesco Cecchin;ENCONTRADO
Gabriely Simette;ENCONTRADO
Geomar Schreiner;ENCONTRADO
Giancarlo Lucca;ENCONTRADO
Giovane N. M. Costa;N√O ENCONTRADO
Giuliano Alves Massaro;N√O ENCONTRADO
Glauber da Silva;N√O ENCONTRADO
Gl√°ucio R. Vivian;ENCONTRADO
Gustavo Costa Meireles;ENCONTRADO
Gustavo Kantorski;ENCONTRADO
Gustavo R. Forgiarini;ENCONTRADO
Henrico B. Brum;ENCONTRADO
Henrique S. C. Rocha;ENCONTRADO
Henrique Santos;N√O ENCONTRADO
Holisson S. da Cunha;ENCONTRADO
Igor Eduardo Viana Rudel;ENCONTRADO
Ismael Martiny;N√O ENCONTRADO
Jacson L. Matte;ENCONTRADO
Jader Osvino Fiegenbaum;N√O ENCONTRADO
Jansser Costa;N√O ENCONTRADO
Jardel Gugel;N√O ENCONTRADO
Jeane Paz;N√O ENCONTRADO
Jeferson Kasper;ENCONTRADO
Jo√£o Fernandes;N√O ENCONTRADO
Jo√£o Victor Guinelli;ENCONTRADO
Joaquim Assun√ß√£o;ENCONTRADO
Joedeson Fontana Junior;ENCONTRADO
Jolvani Morgan;ENCONTRADO
Jonathan Suter;ENCONTRADO
Jorge Alberto F. Flores Jr.;ENCONTRADO
Jorge Sandoval Sim√£o;ENCONTRADO
Jos√© Guilherme C. de Souza;ENCONTRADO
Josiane M. D. Duszczak;ENCONTRADO
Juarez A. P. Sacenti;ENCONTRADO
Juliana Bonato dos Santos;ENCONTRADO
Juliano Augusto Carreira;ENCONTRADO
Juliano Gomes da Silveira;ENCONTRADO
Kaio Alexandre da Silva;ENCONTRADO
Karine B. de Oliveira;N√O ENCONTRADO
Khaue Rodrigues;ENCONTRADO
Klaus W. Schaly,;ENCONTRADO
Larissa Lautert;ENCONTRADO
Leandro Castoldi L√≥pez;ENCONTRADO
Lenon Ricardo Machado de Souza;ENCONTRADO
Leonardo da Rosa;N√O ENCONTRADO
Leonardo G. Garcia;ENCONTRADO
Lisiane M. Pedroni;N√O ENCONTRADO
Luan F√©lix Pimentel;ENCONTRADO
Lucas J. K. Alves;N√O ENCONTRADO
Lucas Lima de Oliveira;N√O ENCONTRADO
Lucas R. de Farias;ENCONTRADO
Lucas Silveira;ENCONTRADO
Luis Fernando Milano Oliveira;ENCONTRADO
Luiz Carlos de Freitas Santos J√∫nior;ENCONTRADO
Luiz Carlos Ribeiro Junior;ENCONTRADO
Luiz Gomes Jr.;ENCONTRADO
Luiz Gustavo Moro Senko;ENCONTRADO
Luzia A. Mendes;N√O ENCONTRADO
Manuele Ferreira;ENCONTRADO
Marcel Felipe Weschenfelder;ENCONTRADO
Marcelo Ferreira;N√O ENCONTRADO
Marcelo Moraes;N√O ENCONTRADO
Marcelo Sardagna;N√O ENCONTRADO
Marcelo Telles;N√O ENCONTRADO
Marcelo Zambiasi;ENCONTRADO
Marcos Nunes;N√O ENCONTRADO
Marcos V. de Moura Lima;ENCONTRADO
Maria Estela Vieira da Silva;ENCONTRADO
Maria Luiza G. Silva;N√O ENCONTRADO
Mariana Machado Garcez Duarte;ENCONTRADO
M√°rio Martins;ENCONTRADO
Mariusa Warpechowski;ENCONTRADO
Matheus K. Zanella;ENCONTRADO
Matheus Oliveira;N√O ENCONTRADO
Mauro Leal;N√O ENCONTRADO
Mayara Lorenzi;ENCONTRADO
Michel Avila;ENCONTRADO
Michel Costa;N√O ENCONTRADO
Miguel Soares;N√O ENCONTRADO
Miriam Colpo;ENCONTRADO
N√°dia Kozievitch;ENCONTRADO
Oliver Moraes Batista;ENCONTRADO
Patr√≠cia Silveira;ENCONTRADO
Pedro Auceli;ENCONTRADO
Poline Lottin;ENCONTRADO
Rafael F. Machado;N√O ENCONTRADO
Rafael Garcia;ENCONTRADO
Rafael Vasel;ENCONTRADO
Raquel Cruz;N√O ENCONTRADO
Raqueline Penteado;ENCONTRADO
Rebeca Schroeder;ENCONTRADO
Rejane Basso;ENCONTRADO
Renan Bet Rodrigues;ENCONTRADO
Renata de J. Silva;ENCONTRADO
Renata Galante;ENCONTRADO
Renato Deggau;ENCONTRADO
Renato Fileto;ENCONTRADO
Ricardo Fagundes;N√O ENCONTRADO
Ricardo Gil Belther Nabo;ENCONTRADO
Ricardo Gross;ENCONTRADO
Roberto Felipe Caliendo;N√O ENCONTRADO
Roberto Walter;ENCONTRADO
Robinson F. de Camargo;ENCONTRADO
Rodrigo C. Barros;N√O ENCONTRADO
Rodrigo Gon√ßalves;ENCONTRADO
Rodrigo Luis Suder;ENCONTRADO
Rodrigo Machado;ENCONTRADO
Rodrigo Moreira;ENCONTRADO
Rodrigo Silva;N√O ENCONTRADO
Roger Monteiro;N√O ENCONTRADO
Ronaldo Canofre M. dos Santos;ENCONTRADO
Ronaldo Mello;ENCONTRADO
Ronan Knob;N√O ENCONTRADO
Rubens Guimar√£es;N√O ENCONTRADO
Rudimar Imhof;ENCONTRADO
Saimor Raduan Ar√°ujo Souza;ENCONTRADO
Samuel S. Troina;ENCONTRADO
Sander P. Pivetta;ENCONTRADO
Sandro Rigo;ENCONTRADO
S√©rgio Dill;ENCONTRADO
S√©rgio Mergen;ENCONTRADO
S√≠lvio Cazella;N√O ENCONTRADO
Stevan Viapiana;ENCONTRADO
Suian Menegas;N√O ENCONTRADO
Taisa C. Novello;ENCONTRADO
T√¢nia M. Cernach;ENCONTRADO
Thales Vaz Maciel;ENCONTRADO
Thiago C. Krug;ENCONTRADO
Tiago F. Otero;ENCONTRADO
Tiago Stapenhorst Martins;ENCONTRADO
Vanessa Barbosa Rolim;ENCONTRADO
Vania Elisabete Scheneider;ENCONTRADO
;
Vin√≠cios Tomazetti;ENCONTRADO
Vinicius F. Garcia;ENCONTRADO
Vitor Hugo Bezerra;ENCONTRADO
Wdnei R. Paix√£o;ENCONTRADO
William Marx;ENCONTRADO
William Pereira;ENCONTRADO
Willian Eduardo de Moura Casante;ENCONTRADO
Willian Ventura Koerich;ENCONTRADO
Yuri Bichibichi;ENCONTRADO
